 95473936  1   1   1    939.23  19.53  53.67 0.69 120-sec PH
298815383  1   0   1    313.01  24.03  22.37 0.37 120-sec   
159580128  3   1   1    532.18   9.33  34.18 0.28 120-sec   
138399054  3   1   1    431.25   6.26  28.59 0.44 120-sec   
141626634 25   1   0    484.06   9.84  28.41 0.59 120-sec   
 32267927  1   1   1    413.25  12.27  25.14 0.23 120-sec   
 53423358  1   0   1    553.02  52.33  32.41 0.89 120-sec   
165468622  1   1   1    429.99  13.06  27.0  0.77 120-sec   
372807298  4   1   1    515.6    4.49  33.4  0.2  120-sec   
245838702  2   1   1    424.77   4.35  28.13 0.19 120-sec   
219143616  7   1   1    704.23   4.44  42.07 0.11 120-sec   
336538743  4   1   1    415.9   10.42  26.43 0.34 120-sec   
339769900 18   1   0    809.0    7.4   47.3  0.14 120-sec   
154383216  4   1   0    406.42   8.8   26.04 0.32 120-sec   
224292452  3   1   1    195.1    2.96  15.79 0.14 120-sec   
219369638  5   1   1    236.21   3.36  17.09 0.19 120-sec   
459245780  4   1   1    295.13   4.89  20.3  0.12 120-sec   
382473600  4   1   0    715.03  13.64  44.19 0.23 120-sec   
340174734 14   1   0    278.93   3.4   19.75 0.12 120-sec   
452374998  3   1   1    268.17   9.34  19.4  0.14 120-sec   
160439883 11   1   1    295.96   3.34  20.64 0.1  120-sec   
158513366  4   1   0    738.93  15.68  44.19 3.31 120-sec   
344852533  2   1   1    537.16  15.41  34.18 0.28 120-sec   
 55726440  3   1   1    353.98   7.4   24.58 0.36 120-sec   
200278842  2   1   1    359.92   4.38  25.22 0.19 120-sec   
462606109  2   1   1    205.59   7.6   16.17 0.39 120-sec   
 92498124  2   1   1    513.21   7.55  33.52 0.27 120-sec   
277890728  4   1   1   1074.3   20.69  56.09 0.19 120-sec PH
334899154  3   1   1    300.73   5.25  21.34 0.3  120-sec   
303688708  3   1   0                              120-sec   
294392620 11   1   1    584.97   1.0   35.86 0.23 120-sec   
237362196  3   1   1    455.33   6.13  28.13 0.84 120-sec   
265727498  1   1   1    486.77  12.89  29.36 0.26 120-sec   
235013826  1   1   1    135.96   4.57  11.23 0.18 120-sec   
118247219  2   0   1    615.43  34.92  50.86 0.23 120-sec   
333731944  8   1   1    328.32   3.33  22.91 0.13 120-sec   
  8482357  2   1   1    281.73   8.65  20.44 0.25 120-sec   
 72814920  2   1   1   1067.97  38.82  62.05 0.7  120-sec   
219420836  5   1   0    882.35  25.39  49.72 0.0  120-sec   
293271686 23   1   1    278.54   2.46  19.84 0.09 120-sec   
154106326  4   1   1    349.91   2.36  24.58 0.17 120-sec   
154359160  4   1   1    934.24  26.39  51.17 0.79 120-sec   
219411870  3   1   1    311.73  11.1   22.67 0.12 120-sec   
 28776075  2   1   1    457.33  13.88  31.14 2.7  120-sec   
238622063  5   1   0    760.82  15.62  44.19 0.23 120-sec   
