ID,dataset,iFile,Numax,Numax_err,Dnu,Dnu_err,Teff,Teff_err,bprp,bprp_err,N_p
TIC309765388,TESS,TESS/TIC309765388.pow,1764.0,80.0,87.8,2.2,6155.0,120.0,0.67505646,0.1,10
TIC311092847,TESS,TESS/TIC311092847.pow,1284.0,63.0,69.7,1.2,6001.0,120.0,0.7577951,0.1,10
TIC317019578,TESS,TESS/TIC317019578.pow,343.0,4.0,25.6,0.4,5117.0,120.0,0.92843246,0.1,10
TIC31799975,TESS,TESS/TIC31799975.pow,1618.0,175.0,78.6,2.0,6347.0,120.0,0.5526743,0.1,10
TIC318705095,TESS,TESS/TIC318705095.pow,1039.0,71.0,58.1,0.9,6245.0,120.0,0.6631527,0.1,10
TIC32500750,TESS,TESS/TIC32500750.pow,691.0,43.0,38.9,1.3,5907.0,120.0,0.63737917,0.1,10
TIC326202925,TESS,TESS/TIC326202925.pow,1389.0,70.0,73.0,1.1,6492.0,120.0,0.6264272,0.1,10
TIC327507922,TESS,TESS/TIC327507922.pow,2490.0,95.0,115.3,1.2,5934.0,120.0,0.80515003,0.1,10
TIC328324648,TESS,TESS/TIC328324648.pow,2167.0,147.0,102.8,1.6,6323.0,120.0,0.6423235,0.1,10
TIC329759640,TESS,TESS/TIC329759640.pow,711.0,13.0,41.2,0.5,6284.0,120.0,0.685678,0.1,10
TIC337046898,TESS,TESS/TIC337046898.pow,760.0,24.0,43.0,0.6,6055.0,120.0,0.7177005,0.1,10
TIC341873045,TESS,TESS/TIC341873045.pow,2314.0,24.0,108.4,0.1,6038.0,120.0,0.83912826,0.1,10
TIC348837162,TESS,TESS/TIC348837162.pow,1548.0,56.0,86.0,0.8,,120.0,0.74270105,0.1,10
TIC351604689,TESS,TESS/TIC351604689.pow,919.0,16.0,51.3,0.7,5935.0,120.0,0.7344909,0.1,10
TIC354552931,TESS,TESS/TIC354552931.pow,544.0,16.0,33.7,0.2,5944.0,120.0,0.769763,0.1,10
TIC357336603,TESS,TESS/TIC357336603.pow,2101.0,126.0,100.7,1.4,,120.0,0.6844826,0.1,10
TIC358013866,TESS,TESS/TIC358013866.pow,744.0,26.0,41.0,0.9,6360.0,120.0,0.6673422,0.1,10
TIC359981217,TESS,TESS/TIC359981217.pow,1791.0,225.0,88.7,0.8,5522.0,120.0,0.90421486,0.1,10
TIC362661163,TESS,TESS/TIC362661163.pow,1936.0,75.0,89.9,0.8,5710.0,120.0,0.8506088,0.1,10
TIC362747897,TESS,TESS/TIC362747897.pow,3215.0,380.0,148.8,1.4,5934.0,120.0,0.736691,0.1,10
TIC366412503,TESS,TESS/TIC366412503.pow,643.0,11.0,39.4,0.6,6042.0,120.0,0.6333599,0.1,10
TIC366661076,TESS,TESS/TIC366661076.pow,1446.0,75.0,71.9,0.5,6109.0,120.0,0.8189659,0.1,10
TIC367758676,TESS,TESS/TIC367758676.pow,697.0,17.0,39.2,0.9,,120.0,0.90092707,0.1,10
TIC37018039,TESS,TESS/TIC37018039.pow,775.0,51.0,43.4,1.6,6262.0,120.0,0.6296773,0.1,10
TIC372480991,TESS,TESS/TIC372480991.pow,2871.0,111.0,126.2,2.5,,120.0,0.69255114,0.1,10
TIC372914091,TESS,TESS/TIC372914091.pow,3006.0,165.0,128.5,1.2,6070.0,120.0,0.74453115,0.1,10
TIC375621179,TESS,TESS/TIC375621179.pow,414.0,6.0,26.8,0.6,,120.0,1.1103241,0.1,10
TIC377415363,TESS,TESS/TIC377415363.pow,1744.0,38.0,84.9,0.9,6285.0,120.0,0.7034795,0.1,10
TIC379660147,TESS,TESS/TIC379660147.pow,637.0,14.0,39.4,1.5,,120.0,0.9206743,0.1,10
