 32427   30469371  8.5  6.01 0.02  62.73  0.41 0 10.26  0.10 2.14 0.05
 32605   55755059  8.5 10.02 0.03 124.95  0.79 0  7.35  0.06 2.19 0.05
 32628   55754841  8.0  4.07 0.03  31.45  0.62 1 11.21  0.27 1.28 0.08
 32712  220474536  7.6  3.05 0.02  24.32  0.46 0 15.44  0.35 1.88 0.12
 32714   55756209  6.3  1.37 0.01   8.39  0.38 0 26.39  1.27 1.89 0.26
 32744   30717182  8.8  4.41 0.03  36.94  0.58 1 11.22  0.23 1.51 0.08
 32822  220476160  8.4  3.94 0.02  35.56  0.54 1 13.53  0.25 2.11 0.10
 32823  220476501  7.8  1.56 0.01   9.98  0.50 0 24.22  1.26 1.89 0.29
 32859  260949928  7.4  4.18 0.03  35.45  0.54 1 11.98  0.25 1.65 0.09
 32877   55781698  8.7  1.24 0.01   8.03  0.24 0 30.85  1.04 2.47 0.23
 32932   55781619  9.4  4.24 0.03  33.49  0.91 1 11.00  0.34 1.31 0.11
 32934  140802488  8.5  4.79 0.03  43.97  2.04 1 11.32  0.55 1.82 0.26
 32986   55848783  8.8  3.67 0.04  30.37  0.48 1 13.32  0.36 1.74 0.11
 33060   55847781  9.1  4.54 0.03  39.32  0.76 1 11.27  0.26 1.62 0.10
 33146  381925600  6.7  4.52 0.02  44.50  0.68 1 12.86  0.23 2.38 0.12
 33148   30853028  8.1  3.88 0.05  26.65  0.81 1 10.46  0.42 0.94 0.10
 33263   30761268  7.3  9.80 0.04 116.00  0.67 0  7.13  0.07 1.91 0.05
 33285   30762159  4.5  2.25 0.04  20.89  0.82 0 24.37  1.30 4.01 0.55
 33293   55269260  6.9  4.60 0.02  44.02  0.81 0 12.29  0.25 2.15 0.12
 33322   55241662  8.0  1.82 0.03  14.90  0.37 0 26.58  1.09 3.41 0.34
 33380   55272575  8.3  4.11 0.03  36.11  0.73 1 12.63  0.31 1.86 0.13
 33409  381950542  8.2  4.68 0.04  41.74  0.79 1 11.26  0.29 1.71 0.11
 33456   55271900  8.4  4.30 0.03  37.61  0.75 1 12.02  0.29 1.76 0.12
 33475  381949876  6.2  1.16 0.02   8.88  0.59 0 38.97  2.92 4.36 0.92
 33477   30936634  7.0  5.27 0.05  48.97  0.48 0 10.41  0.22 1.72 0.08
 33516   55294535  7.9  3.72 0.03  32.46  0.68 1 13.85  0.36 2.02 0.14
 33616   55290553  6.8  4.03 0.02  33.29  0.85 1 12.11  0.33 1.58 0.12
 33652  140889281  7.3  5.09 0.04  58.50  0.71 1 13.34  0.26 3.37 0.16
 33700   55297687  8.0  1.29 0.02   7.42  0.73 0 26.33  2.72 1.66 0.50
 33701  260972290  6.8  3.50 0.03  28.98  0.33 0 13.98  0.29 1.83 0.09
 33718   55297320  8.9  3.54 0.03  27.41  0.49 1 12.92  0.32 1.48 0.09
 33745   31016743  8.6  5.43 0.04  53.45  0.60 0 10.71  0.20 1.98 0.09
 33746  140890028  8.2  4.32 0.03  37.58  1.03 1 11.89  0.37 1.72 0.15
 33850  381978020  8.1  1.80 0.02  13.99  0.39 0 25.51  0.91 2.95 0.28
 33895   55366779  8.3  2.24 0.03  16.71  0.47 0 19.67  0.77 2.09 0.21
 33923   31265556  6.3  3.01 0.02  24.83  0.50 0 16.19  0.39 2.11 0.14
 34016   55384211  7.8  1.55 0.02  10.40  0.41 0 25.58  1.20 2.20 0.28
 34037   55389898  8.4  4.73 0.07  44.69  0.81 1 11.80  0.41 2.01 0.16
 34074   55384747  7.9  4.26 0.02  40.51  0.51 0 13.19  0.21 2.28 0.10
 34107  257691173  8.7  9.34 0.02  99.49  0.86 0  6.74  0.06 1.46 0.04
 34168  358401812  8.5  4.64 0.03  45.98  0.65 0 12.61  0.24 2.37 0.12
 34276   40513974  7.7  5.48 0.03  54.45  0.57 0 10.71  0.16 2.02 0.08
 34287  140942435  8.0  4.48 0.03  38.44  1.28 1 11.31  0.41 1.59 0.17
 34348  219402363  6.7  4.93 0.02  52.48  0.91 1 12.76  0.24 2.76 0.15
 34396  364303107  8.8  4.47 0.04  44.89  1.56 1 13.27  0.52 2.56 0.28
 34461  231742691  8.5  6.56 0.02  71.59  0.43 0  9.83  0.08 2.24 0.05
 34541  219406884  6.3  2.47 0.02  22.19  0.75 0 21.49  0.81 3.32 0.35
 34612  309615065  8.7  4.65 0.03  47.63  1.51 1 13.01  0.45 2.61 0.26
 34633  140946106  7.7  2.25 0.04  16.76  0.82 0 19.56  1.18 2.07 0.34
 34665  376985024  7.5  4.88 0.07  46.23  0.59 1 11.47  0.36 1.97 0.14
 34711  231801477  7.5  5.92 0.02  57.76  0.52 0  9.74  0.11 1.77 0.05
 34821  309617919  8.5  3.60 0.02  33.35  0.70 0 15.20  0.36 2.49 0.17
 34851  140997423  6.9  9.61 0.02 119.32  0.90 0  7.63  0.07 2.25 0.05
 34901  140997242  8.2  5.75 0.02  54.97  1.29 0  9.82  0.24 1.72 0.12
 34914  382043962  6.3  5.57 0.04  74.01  0.87 0 14.09  0.26 4.76 0.22
 34915  309657663  7.1  1.99 0.01  14.23  0.35 0 21.23  0.56 2.08 0.16
 34916   40805216  7.5  2.67 0.02  22.15  0.30 0 18.35  0.37 2.41 0.12
 34942  309656476  8.8  4.25 0.03  33.62  0.75 1 10.99  0.29 1.32 0.10
 34944   40893999  8.5  4.08 0.02  36.10  0.46 0 12.81  0.21 1.92 0.08
 34971  382067256  8.3 19.30 0.06 276.07  0.87 0  4.38  0.03 1.71 0.03
 34984  382066571  7.8  4.07 0.04  34.98  0.46 1 12.47  0.29 1.76 0.10
 35048  382066578  7.7  4.10 0.05  35.28  0.48 1 12.40  0.35 1.76 0.11
 35107  141025327  7.6  4.43 0.03  40.97  0.89 1 12.33  0.32 2.02 0.14
 35167  309755356  8.5  3.59 0.02  26.19  0.29 1 12.00  0.19 1.22 0.05
 35230  179213412  6.8  4.42 0.03  36.88  0.51 1 11.15  0.22 1.48 0.07
 35310  377017561  7.7  5.46 0.02  53.70  0.62 0 10.64  0.15 1.97 0.07
 35391  376987597  7.0  5.69 0.04  52.95  0.46 0  9.66  0.16 1.60 0.06
 35403  309790820  7.8  7.06 0.06  85.69  2.46 1 10.15  0.34 2.86 0.26
