ID,dataset,iFile,Numax,Numax_err,Dnu,Dnu_err,Teff,Teff_err,bprp,bprp_err,N_p
EPIC231478973,K2,K2/EPIC231478973.pow,1648.464,30.822,84.603,0.656,6196.0,77.0,0.668616771697998,0.1,10
EPIC233933903,K2,K2/EPIC233933903.pow,1458.426,10.974,73.883,0.597,5778.0,77.0,0.8072957992553711,0.1,10
EPIC233947029,K2,K2/EPIC233947029.pow,1618.573,13.742,79.077,0.655,5808.0,77.0,0.8074302673339844,0.1,10
EPIC234426962,K2,K2/EPIC234426962.pow,1068.39,19.911,58.512,0.5,6039.0,77.0,0.7309079170227051,0.1,10
EPIC234863731,K2,K2/EPIC234863731.pow,1501.791,25.144,73.302,0.528,6069.0,77.0,0.7183165550231934,0.1,10
EPIC235124375,K2,K2/EPIC235124375.pow,2208.507,25.648,100.171,0.672,6210.0,38.0,0.7065486907958984,0.1,10
EPIC236012973,K2,K2/EPIC236012973.pow,2554.852,21.716,117.48,0.722,5549.0,37.0,0.9012737274169922,0.1,10
EPIC236224056,K2,K2/EPIC236224056.pow,764.233,5.991,43.047,1.021,5316.0,77.0,1.0096149444580078,0.1,10
EPIC236344582,K2,K2/EPIC236344582.pow,2858.132,25.478,122.906,0.763,5995.0,59.0,0.7370257377624512,0.1,10
EPIC237799552,K2,K2/EPIC237799552.pow,2709.384,50.194,122.629,0.648,5794.0,40.0,0.8015117645263672,0.1,10
EPIC241011563,K2,K2/EPIC241011563.pow,1411.071,11.517,73.489,0.618,5812.0,116.0,0.7846975326538086,0.1,10
EPIC242184803,K2,K2/EPIC242184803.pow,1179.099,24.706,61.199,0.551,5979.0,122.0,0.7430429458618164,0.1,10
EPIC245939167,K2,K2/EPIC245939167.pow,2531.051,35.558,109.134,0.648,6323.0,77.0,0.6520977020263672,0.1,10
EPIC245961434,K2,K2/EPIC245961434.pow,842.407,13.516,46.992,0.556,5843.0,77.0,0.766578197479248,0.1,10
